Datum;Beleg;Box;Betrag;Status
2026-07-01;TS Veranstaltungstechnik 26-0148;Rechnungseingang;593,87 €;an DATEV übergeben + bezahlt 01.07.2026
2026-07-16;Anthropic PBC 0LTDAXHG-0002 (Claude API Credit-Kauf);music DATEV Kreditkarte Master;23,80 USD;an DATEV weitergeleitet (info@); per Mastercard bezahlt 15.07.; Invoice+Receipt zu 1 PDF gemergt; NEUER Absender invoice+statements@mail.anthropic.com gelernt
2026-07-16;STRATO DRP156300803 (Domain dieneue1077-band.de 12 Mon.);event Dropbox XE bezahlte Eingangsrechnungen;14,40 €;in Dropbox abgelegt (Lastschrift, wird abgebucht); Empfänger x-media event GmbH
2026-07-16;Anselm Boss K-26-02808 (Schornsteinfeger Hummelbühl 8/1 Backnang);event Dropbox XE offene Eingangsrechnungen;87,87 €;in Dropbox abgelegt; offener Posten zahlbar bis 29.07.2026; 3 PDFs (Rg+Messbescheinigung+Rückschein) zu 1 PDF gemergt; NEUER Absender anselm@boss-schornsteinfeger.de gelernt
22.07.2026;FLYERALARM Rechnung_3203328715_21.07.2026.pdf;event Dropbox: XE bezahlte Eingangsrechnungen;77,22 €;ABGELEGT (OWNER-OK 22.07.)
2026-07-21;UTA Edenred Tankkarte 07/2026 (RE 15.07.2026);music DATEV Bank;328,84 €;an DATEV Bank-Uploadmail weitergeleitet (info@); 3 PDFs (RE+GSB+EPN) zu 1 gemergt; Lastschrift wird abgebucht; bekannter Absender; STEHENDE FREIGABE Dirk 21.07. -> künftig autonom
2026-07-21;Jessie Rennings Rg 2619 (VIPS-Gagen 3 Gigs Juni);event Dropbox XE offene Eingangsrechnungen;900,00 €;in Dropbox abgelegt; offener Posten fällig 27.07.; §19; NEUER Absender jessierennings@gmail.com
2026-07-21;Janis Herb Rg 08/2026 (Schlagzeuger HSN Denkendorf 10.07.);event Dropbox XE offene Eingangsrechnungen;450,00 €;in Dropbox abgelegt; offener Posten fällig 04.08.; §19; NEUER Absender janis.herb@googlemail.com
2026-07-21;Superposition RE-26-1680 (Meta Ads 107.7-Party 13.06);event Dropbox XE offene Eingangsrechnungen;238,00 €;lag bereits manuell in Dropbox (Superposition RG- 21.07.26.pdf); meine Dublette entfernt; offener Posten fällig 27.07.; NEUER Absender alex@su-po.de
2026-07-21;Bewirtung Villa Martino Waldshut-Tiengen 21.07.;event Dropbox XE bezahlte Eingangsrechnungen;185,00 €;Zusatzblatt+Scan zu 1 PDF; Zahlweg EC (Dirk 22.07.); Anlass Besprechung Chilbi Ablauf/Programm; Teiln. Locher/Doczi/Wöhrle/Bögner
2026-07-22;TS Veranstaltungstechnik 26-0163 (Backline Regiment SCF Fanfest Grafenhausen 18.07.);music DATEV Rechnungseingang;266,62 €;an DATEV weitergeleitet (info@); offener Posten - Zahlung offen (sofort); bekannter Absender
2026-07-22;Manuel Weber RE-2026-1017 (Auf-/Abbau+Fahrdienst Tannenzäpfle 01./02.05.);music DATEV Rechnungseingang;500,00 €;an DATEV weitergeleitet (info@); offener Posten - fällig 25.07.; §19; NEUER Absender Manuel Weber gelernt (music->Rechnungseingang)
2026-07-22;Manuel Weber RE-2026-1016 (Backline VIP's/Stagehand 7 Termine);event Dropbox XE offene Eingangsrechnungen;2.240,00 €;in Dropbox abgelegt; offener Posten - fällig 26.07.; §19; NEUER Absender Manuel Weber gelernt (event->Dropbox)
2026-07-22;Hotel Sonne INV-260704 (Bandübernachtung 18./19.07.);event Dropbox XE bezahlte Eingangsrechnungen;382,00 €;in Dropbox abgelegt; bereits per Karte bezahlt (Noch zu zahlen 0,00); NEUER Absender Hotel Sonne gelernt
2026-07-25;Sandra Köhli HR2026-05a (Sängerin-Gage Juli 7 Auftritte);music DATEV Rechnungseingang;3.937,60 €;an DATEV weitergeleitet (info@) 11:40 Uhr; offener Posten - fällig 01.08.; §12(2)7 UStG 7%; NEUER Absender sandratk@web.de gelernt (music->Rechnungseingang)
2026-07-25;Sandra Köhli HR2026-05b (Denkendorf-Split HSN 10.07.);event Dropbox XE offene Eingangsrechnungen;535,00 €;in Dropbox abgelegt; offener Posten - fällig 01.08.; §12(2)7 UStG 7%; NEUER Absender gelernt (event->Dropbox)
2026-07-25;ernst + könig GmbH 670/058010 (Mietwagen Ford Tourneo FR-ZA 256, 22.07.-22.08.);music DATEV Rechnungseingang;1.190,00 €;an DATEV weitergeleitet (info@); offener Posten - Zahlung offen (Überweisung); DETEKTOR=KEINE (Scan ohne Text) manuell bestätigt Dirk 25.07.; NEUER Absender ernst+könig gelernt
2026-07-25;Janis Herb 07/2026 (Schlagzeuger-Gage 4 Konzerte music);music DATEV Rechnungseingang;1.800,00 €;an DATEV weitergeleitet (info@); offener Posten - fällig 04.08.; §19; music-Routing bestätigt Dirk 25.07. (Janis auch event-seitig 08/2026); Absender gelernt
2026-07-25;L-Events (Tobias Lang) RE2607224 (FoH Hofbräu-Regiment mehrere Termine music);music DATEV Rechnungseingang;2.323,17 €;an DATEV weitergeleitet (info@); offener Posten - fällig 06.08.; music-Box bestätigt Dirk 25.07.; NEUER Absender info@l-events.net gelernt
2026-07-25;STRATO DRP156676866 (Hosting Pro 24.07.-23.09.);music DATEV Bank;62,00 €;an DATEV Bank-Uploadmail weitergeleitet (info@) nach Dirks Ja; Lastschrift wird abgebucht; bekannter Absender
2026-07-28;DIE NEUE 107.7 (Radio L12) 2260582 (Radiokampagne Münchingen);event Dropbox offene ER;2.915,50 €;bezahlt/erledigt (Dirk 28.07. via Dashboard) - aus offenen Posten gestrichen
2026-07-28;DIE NEUE 107.7 (Radio L12) 2260584;event Dropbox offene ER;547,40 €;bezahlt/erledigt (Dirk 28.07. via Dashboard) - aus offenen Posten gestrichen
2026-07-28;GEMA x-media music GmbH (Vergleich Mitgl. 1036985);n. zugeordnet;15.000,00 €;auf Dirks Anweisung aus offenen Posten gestrichen (NICHT bezahlt; GEMA-Vergleich, Gegenzeichnung offen, urspr. Wiedervorlage 01.12.2026)
2026-07-28;GEMA Dirk Wöhrle PRIVAT (Vergleich Mitgl. 1048460);PRIVAT;15.000,00 €;auf Dirks Anweisung aus offenen Posten gestrichen (NICHT bezahlt; GEMA-Vergleich, Gegenzeichnung offen, urspr. Wiedervorlage 01.12.2026)
2026-07-29;Manuel Weber (Weber event & media) RE-2026-1018;event Dropbox XE offene Eingangsrechnungen;790,00 €;abgelegt in Dropbox auf Dirks Ja (29.07.); §19; fällig 04.08.2026; Zahlung offen (Dirk zahlt selbst)
2026-07-29;Jonas Schoof (jonez-live) RE62027072;event Dropbox XE offene Eingangsrechnungen;1.230,50 €;abgelegt in Dropbox auf Dirks Ja (29.07.); ROUTING KORRIGIERT music->event (VIP's = x-media event); alte music-Fassung wird von Dirk vernichtet; fällig 06.08.2026; Zahlung offen (Dirk zahlt selbst)
2026-07-29;FAM Sicherheit GmbH 2026-168;event Dropbox XE offene Eingangsrechnungen;1.713,60 €;abgelegt in Dropbox auf Dirks Ja (29.07.); Sicherheitsdienst 107,7 Party Endersbach 25.07.; Detektor Grenzfall -> visuell als Rechnung bestätigt; fällig sofort; Zahlung offen (Dirk zahlt selbst)
2026-08-03;Janis Herb 09/2026;music DATEV Rechnungseingang;450,00 €;an DATEV übergeben – Dirk MANUELL hochgeladen 02.08. abends (nicht über Hub); §19; fällig 16.08.2026; Zahlung offen (Dirk zahlt selbst)
2026-08-03;TS Veranstaltungstechnik 26-0186;music DATEV Rechnungseingang;Betrag unbekannt;an DATEV übergeben – Dirk MANUELL hochgeladen + archiviert bei Eingang (lief NICHT über den Hub, daher hier keine Beleg-/Betragsdaten); TS-Bankdaten Standard IBAN DE92630901000171389000 BIC ULMVDE66
